SERIE;FACTURA;REFERENCIA ;FECHA;CLIENTE;CLIENTE NOMBRE;COMPROBADOS;COMPLEMENTARIOS;IVA;SUBTOTAL;ANTICIPO;TOTAL;MONEDA;;;DOCUMENTACION, ALMACENAJES Y MANIOBRAS ( TER) ;IMPUESTOS ADUANALES (TER);;HONORARIOS ;REVALIDACION GUIA / BOL ;MANIOBRAS;ALMACENAJES;SERVICIOS LOGISTICOS;RECONOCIMIENTO ADUANERO ;DESCONSOLIDACION;SERVICIOS COMPLEMENTARIOS ;SERVICIOS EXTRAORDINARIO ;RECTIFICACIONES;LIMPIEZA DE CONTENEDOR ;DEMORAS;LIBERACIONES DOCUMENTOS;GASTOS EN DESTINO;SERVICIO DE MENSAJERIA ;CERTIFICADO DE ORIGEN ;;PROFIT;EJECUTIVO;T OPE;;;MXN;USD;TOTAL;PORCENTAJE;
2;2-003573;CGL25123872;07-ene-26;C0001;ARMOR MEXICO IMAGING SUPPLIES;0,00; 42.000,00 ;6.720,00;48.720,00;0,00;48.720,00;MXN;;;0,00;0,00;;4.500,00;0,00;0,00;0,00;37.500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;42%;LUIS;T;;HONORARIOS ;1.008.067,25;0,00;1.008.067,25;27,47%;
1;1-003574;CGL25103672;07-ene-26;C0001;ARMOR MEXICO IMAGING SUPPLIES;0,00; 119.383,31 ;19.101,33;138.484,64;0,00;138.484,64;MXN;;;0,00;0,00;;6.580,00;1.113,94;29.072,04;15.874,83;66.000,00;0,00;0,00;0,00;0,00;0,00;742,50;0,00;0,00;0,00;0,00;0,00; -   ;20%;ELIAS;M;;REVALIDACION GUIA / BOL ;7.194,47;6.767,86;13.962,33;0,38%;
1;1-003575;CGL25113763;07-ene-26;C0001;ARMOR MEXICO IMAGING SUPPLIES;0,00; 87.121,96 ;13.939,51;101.061,47;0,00;101.061,47;MXN;;;0,00;0,00;;6.546,96;0,00;25.750,00;0,00;54.825,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;26%;ELIAS;M;;MANIOBRAS;1.319.586,15;0,00;1.319.586,15;35,97%;
2;2-003577;CGL25123896;07-ene-26;C0069;JOINT PRODUCTION HONOR ;336,00; 145.600,00 ;23.296,00;169.232,00;212.096,00;(42.864,00);MXN;;;0,00;336,00;;145.600,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;77%;JESUS ;T;;ALMACENAJES;277.089,16;0,00;277.089,16;7,55%;
1;1-003579;CGL25113732;07-ene-26;C0069;JOINT PRODUCTION HONOR ;20.470,00; 196.430,90 ;31.428,94;248.329,84;248.329,84;0,00;MXN;;;0,00;20.470,00;;19.824,00;0,00;60.282,00;114.299,00;0,00;0,00;0,00;0,00;0,00;0,00;2.025,90;0,00;0,00;0,00;0,00;0,00; -   ;15%;ISRAEL;M;;SERVICIOS LOGISTICOS;668.495,32;246.022,47;914.517,79;24,93%;
2;2-003583;CGL25113754;12-ene-26;C0069;JOINT PRODUCTION HONOR ;336,00; 37.864,43 ;6.058,31;44.258,74;44.258,74;(0,00);MXN;;;0,00;336,00;;36.000,00;0,00;1.864,43;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;70%;JESUS ;T;;RECONOCIMIENTO ADUANERO ;9.762,86;0,00;9.762,86;0,27%;
1;1-003584;CGL25123858;12-ene-26;C0069;JOINT PRODUCTION HONOR ;43.046,00; 37.205,82 ;5.952,93;86.204,75;106.150,00;(19.945,25);MXN;;;0,00;43.046,00;;14.400,00;0,00;16.805,82;0,00;0,00;0,00;0,00;0,00;6.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;29%;ALONSO ;A;;DESCONSOLIDACION;0,00;0,00;0,00;0,00%;
2;2-003586;CGL25123833;14-ene-26;C0069;JOINT PRODUCTION HONOR ;845,00; 28.200,00 ;4.512,00;33.557,00;33.557,00;0,00;MXN;;;0,00;845,00;;8.000,00;0,00;14.600,00;0,00;0,00;0,00;0,00;0,00;5.600,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;67%;ALONSO ;T;;SERVICIOS COMPLEMENTARIOS ;0,00;0,00;0,00;0,00%;
1;1-003588;CGL25123884;15-ene-26;C0069;JOINT PRODUCTION HONOR ;781,00; 13.858,69 ;2.217,39;16.857,08;21.893,00;(5.035,92);MXN;;;0,00;781,00;;7.200,00;608,92;2.049,77;0,00;4.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;51%;ALONSO ;A;;SERVICIOS EXTRAORDINARIO ;43.200,00;0,00;43.200,00;1,18%;
1;1-003589;CGL25123891;15-ene-26;C0069;JOINT PRODUCTION HONOR ;781,00; 14.339,57 ;2.294,33;17.414,90;21.893,00;(4.478,10);MXN;;;0,00;781,00;;7.200,00;608,92;2.530,65;0,00;4.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;49%;ALONSO ;A;;RECTIFICACIONES;0,00;0,00;0,00;0,00%;
