ID;Orden;Cliente;Tipo;Concepto;Oficina;Tráfico;Partner;Factura;Fecha factura;Moneda;Neto;IVA;Neto (local);IVA (local);Fecha económica;Fecha booking;No. asiento;Actualizado
2522;CGL25123863;MEGALUMINIO SERVICIOS;income;IEX01;1000;sea;C0012 MEGALUMINIO SERVICIOS;;28/02/2026;MXN;7.075,28;1.132,04;7.075,28;1.132,04;16/12/2025;16/12/2025;1-003764;02/03/2026 19:02
2520;CGL25123863;MEGALUMINIO SERVICIOS;income;IAT02;1000;sea;C0012 MEGALUMINIO SERVICIOS;;28/02/2026;MXN;5.731,00;916,96;5.731,00;916,96;16/12/2025;16/12/2025;1-003764;02/03/2026 19:02
2517;CGL25123863;MEGALUMINIO SERVICIOS;income;ITR02;1000;sea;C0012 MEGALUMINIO SERVICIOS;;28/02/2026;MXN;19.000,00;3.040,00;19.000,00;3.040,00;16/12/2025;16/12/2025;1-003764;02/03/2026 19:02
2512;CGL25123863;MEGALUMINIO SERVICIOS;income;PT01;1000;sea;C0012 MEGALUMINIO SERVICIOS;;28/02/2026;MXN;45.890,00;0;45.890,00;0;16/12/2025;16/12/2025;1-003764;02/03/2026 19:02
2510;CGL25123863;MEGALUMINIO SERVICIOS;income;IAD02;1000;sea;C0012 MEGALUMINIO SERVICIOS;;28/02/2026;MXN;7.500,00;1.200,00;7.500,00;1.200,00;16/12/2025;16/12/2025;1-003764;02/03/2026 19:02
2509;CGL25123863;MEGALUMINIO SERVICIOS;income;IAT02;1000;sea;C0012 MEGALUMINIO SERVICIOS;;28/02/2026;MXN;9.022,72;1.443,64;9.022,72;1.443,64;16/12/2025;16/12/2025;1-003764;02/03/2026 19:02
2530;CGL26013907;NEXT LOGISTICS XXI, S.L.;income;ITR05;1000;sea;C0096 NEXT LOGISTICS XXI, S.L.;;27/02/2026;USD;280;0;4.831,76;0;02/01/2026;02/01/2026;1-003753;02/03/2026 19:02
2524;CGL25123863;MEGALUMINIO SERVICIOS;payable;CTR02;1000;sea;P0992 COMPROBADOS CORPORATIVO ADUANAL ROBLES;C52706 - FACMZO;27/02/2026;MXN;68,2;0;68,2;0;16/12/2025;16/12/2025;8754;02/03/2026 19:02
2519;CGL25123863;MEGALUMINIO SERVICIOS;payable;CEX01;1000;sea;P0992 COMPROBADOS CORPORATIVO ADUANAL ROBLES;C52706 - FACMZO;27/02/2026;MXN;6.152,76;984,44;6.152,76;984,44;16/12/2025;16/12/2025;8754;02/03/2026 19:02
2518;CGL25123863;MEGALUMINIO SERVICIOS;payable;CAT02;1000;sea;P0992 COMPROBADOS CORPORATIVO ADUANAL ROBLES;C52706 - FACMZO;27/02/2026;MXN;7.845,85;1.255,34;7.845,85;1.255,34;16/12/2025;16/12/2025;8754;02/03/2026 19:02
2516;CGL25123863;MEGALUMINIO SERVICIOS;payable;CAD05;1000;sea;P0992 COMPROBADOS CORPORATIVO ADUANAL ROBLES;C52706 - FACMZO;27/02/2026;MXN;4.983,48;797,36;4.983,48;797,36;16/12/2025;16/12/2025;8754;02/03/2026 19:02
2515;CGL25123863;MEGALUMINIO SERVICIOS;payable;CTR03;1000;sea;P0992 COMPROBADOS CORPORATIVO ADUANAL ROBLES;C52706 - FACMZO;27/02/2026;MXN;1.540,54;246,49;1.540,54;246,49;16/12/2025;16/12/2025;8754;02/03/2026 19:02
2513;CGL25123863;MEGALUMINIO SERVICIOS;payable;CAD02;1000;sea;P0121 CORPORATIVO ADUANAL ROBLES;52707 - FACMZO;27/02/2026;MXN;4.340,00;694,4;4.340,00;694,4;16/12/2025;16/12/2025;8746;02/03/2026 19:02
2506;CGL26024151;JOINT PRODUCTION;payable;CTR02;2000;road;P0140 AUTO FLETES OMEGA;L65126;27/02/2026;USD;600;0;10.302,00;0;27/02/2026;27/02/2026;8762;02/03/2026 19:02
2504;CGL25113770;JOINT PRODUCTION;payable;PT01;1000;air;P0990 COMPROBADOS SERVICIOS ADUANEROS DEL NORTE;CGL25113770;27/02/2026;MXN;794;0;794;0;21/11/2025;31/12/2025;8761;02/03/2026 19:02
2503;CGL25113770;JOINT PRODUCTION;income;IAD02;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;14.400,00;2.304,00;14.400,00;2.304,00;21/11/2025;21/11/2025;1-003763;02/03/2026 19:02
2501;CGL25113770;JOINT PRODUCTION;income;PT02;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;4.640,00;0;4.640,00;0;21/11/2025;21/11/2025;1-003763;02/03/2026 19:02
2498;CGL25113770;JOINT PRODUCTION;income;IAT02;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;10.491,16;1.678,59;10.491,16;1.678,59;21/11/2025;21/11/2025;1-003763;02/03/2026 19:02
2497;CGL25113770;JOINT PRODUCTION;payable;CAT02;1000;air;P0990 COMPROBADOS SERVICIOS ADUANEROS DEL NORTE;CGL25113770;27/02/2026;MXN;5.931,40;949,02;5.931,40;949,02;21/11/2025;31/12/2025;8761;02/03/2026 19:02
2496;CGL25113770;JOINT PRODUCTION;income;PT01;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;11.403,00;0;11.403,00;0;21/11/2025;21/11/2025;1-003763;02/03/2026 19:02
2495;CGL25113770;JOINT PRODUCTION;income;ITR05;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;3.500,00;560;3.500,00;560;21/11/2025;21/11/2025;1-003763;02/03/2026 19:02
2494;CGL25113770;JOINT PRODUCTION;income;PT01;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;794;0;794;0;21/11/2025;21/11/2025;1-003763;02/03/2026 19:02
2487;CGL25123821;NAPS-GUANAJUATO;payable;PT01;1000;air;P0990 COMPROBADOS SERVICIOS ADUANEROS DEL NORTE;CGL25123821;27/02/2026;MXN;781;0;781;0;06/12/2025;06/12/2025;8759;02/03/2026 19:02
2486;CGL25123821;NAPS-GUANAJUATO;income;IAT02;1000;air;C0051 NAPS-GUANAJUATO;;27/02/2026;MXN;32.128,64;5.140,58;32.128,64;5.140,58;06/12/2025;06/12/2025;1-003762;02/03/2026 19:02
